Dim;TimeBlock2;GFLOPSBlock2;TimeBlock4;GFLOPSBlock4;TimeBlock8;GFLOPSBlock8;TimeBlock16;GFLOPSBlock16;TimeBlock32;GFLOPSBlock32;
32;0.0000;1.60;0.0000;1.82;0.0001;1.19;0.0000;1.56;0.0001;1.26;
64;0.0004;1.35;0.0003;1.56;0.0003;1.69;0.0003;1.66;0.0004;1.33;
96;0.0013;1.39;0.0010;1.73;0.0011;1.68;0.0011;1.67;0.0013;1.36;
128;0.0026;1.61;0.0014;3.07;0.0014;3.01;0.0014;2.97;0.0017;2.42;
160;0.0043;1.91;0.0027;3.04;0.0027;3.05;0.0027;3.02;0.0033;2.48;
192;0.0081;1.74;0.0047;3.04;0.0048;2.97;0.0047;2.99;0.0058;2.46;
224;0.0130;1.73;0.0074;3.05;0.0075;2.99;0.0075;3.00;0.0091;2.48;
256;0.0272;1.24;0.0139;2.41;0.0128;2.63;0.0126;2.66;0.0150;2.24;
320;0.0412;1.59;0.0219;2.99;0.0174;3.76;0.0170;3.84;0.0207;3.17;
384;0.0956;1.18;0.0448;2.53;0.0329;3.45;0.0307;3.69;0.0382;2.97;
448;0.2551;0.70;0.0885;2.03;0.0579;3.11;0.0499;3.60;0.0581;3.10;
512;0.4328;0.62;0.1642;1.63;0.1011;2.66;0.0851;3.15;0.0943;2.85;
640;0.8659;0.61;0.3053;1.72;0.1752;2.99;0.1444;3.63;0.1768;2.97;
768;1.4851;0.61;0.5357;1.69;0.3056;2.96;0.2624;3.45;0.3091;2.93;
896;2.4106;0.60;0.8533;1.69;0.4845;2.97;0.4021;3.58;0.4825;2.98;
1024;3.4984;0.61;1.3333;1.61;0.8066;2.66;0.6850;3.13;0.8531;2.52;
1280;7.7758;0.54;2.6873;1.56;1.5014;2.79;1.2298;3.41;1.4570;2.88;
1536;14.3339;0.51;4.9589;1.46;3.1807;2.28;2.3562;3.08;2.6584;2.73;
1792;26.0984;0.44;8.4566;1.36;6.2884;1.83;3.5201;3.27;4.3021;2.68;
2048;76.9943;0.22;41.6384;0.41;18.2963;0.94;12.9607;1.33;12.6109;1.36;
