Dim;TimeBlock2;GFLOPSBlock2;TimeBlock4;GFLOPSBlock4;TimeBlock8;GFLOPSBlock8;TimeBlock16;GFLOPSBlock16;TimeBlock32;GFLOPSBlock32;
32;0.0000;2.50;0.0000;4.04;0.0000;3.48;0.0000;3.48;0.0000;3.44;
64;0.0002;2.73;0.0001;4.03;0.0001;3.67;0.0002;3.10;0.0001;3.59;
96;0.0007;2.55;0.0004;4.00;0.0005;3.41;0.0005;3.71;0.0005;3.47;
128;0.0019;2.24;0.0012;3.61;0.0012;3.52;0.0012;3.57;0.0012;3.41;
160;0.0036;2.28;0.0022;3.68;0.0022;3.64;0.0022;3.69;0.0022;3.64;
192;0.0065;2.17;0.0039;3.64;0.0040;3.57;0.0039;3.65;0.0039;3.60;
224;0.0104;2.15;0.0062;3.64;0.0063;3.58;0.0061;3.67;0.0062;3.62;
256;0.0225;1.49;0.0120;2.80;0.0108;3.11;0.0103;3.25;0.0102;3.30;
320;0.0339;1.94;0.0200;3.27;0.0192;3.41;0.0184;3.56;0.0188;3.49;
384;0.0999;1.13;0.0465;2.43;0.0353;3.21;0.0327;3.46;0.0343;3.30;
448;0.2524;0.71;0.0971;1.85;0.0613;2.93;0.0522;3.45;0.0528;3.41;
512;0.4346;0.62;0.1797;1.49;0.1084;2.48;0.0926;2.90;0.1294;2.07;
640;0.8712;0.60;0.3299;1.59;0.1863;2.81;0.1536;3.41;0.1595;3.29;
768;1.4984;0.60;0.5844;1.55;0.3299;2.75;0.2791;3.25;0.2761;3.28;
896;2.4390;0.59;0.9368;1.54;0.5239;2.75;0.4280;3.36;0.4396;3.27;
1024;3.5425;0.61;1.4619;1.47;0.8833;2.43;0.7473;2.87;1.0466;2.05;
1280;7.9010;0.53;2.9290;1.43;1.6366;2.56;1.3112;3.20;1.3068;3.21;
1536;15.0133;0.48;5.3455;1.36;3.2692;2.22;2.5340;2.86;3.6401;1.99;
1792;27.8407;0.41;8.9735;1.28;6.4741;1.78;3.7072;3.10;3.8278;3.01;
2048;83.3180;0.21;48.1966;0.36;18.6659;0.92;13.1283;1.31;13.9602;1.23;
