Dim,TimeNothing,GFLOPSNothing,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSUnrollTranspose,TimeBlocking,GFLOPSEBlocking
32,0.0003,0.20,0.0002,0.33,0.0001,0.61,0.0001,0.64
64,0.0028,0.18,0.0016,0.32,0.0009,0.59,0.0009,0.60
96,0.0072,0.25,0.0030,0.60,0.0016,1.11,0.0016,1.11
128,0.0133,0.32,0.0069,0.61,0.0037,1.13,0.0038,1.09
160,0.0255,0.32,0.0134,0.61,0.0073,1.13,0.0074,1.11
192,0.0462,0.31,0.0231,0.61,0.0125,1.13,0.0127,1.11
224,0.0754,0.30,0.0364,0.62,0.0198,1.14,0.0201,1.12
256,0.1234,0.27,0.0414,0.81,0.0225,1.49,0.0242,1.39
320,0.1790,0.37,0.0804,0.82,0.0437,1.50,0.0454,1.44
384,0.3973,0.29,0.1386,0.82,0.0753,1.50,0.0817,1.39
448,0.5563,0.32,0.2200,0.82,0.1194,1.51,0.1264,1.42
512,0.9946,0.27,0.3264,0.82,0.1776,1.51,0.2007,1.34
640,2.0956,0.25,0.6400,0.82,0.3484,1.50,0.3812,1.38
768,3.6831,0.25,1.1065,0.82,0.6028,1.50,0.6612,1.37
896,5.8389,0.25,1.7628,0.82,0.9593,1.50,1.0551,1.36
1024,8.9101,0.24,2.6296,0.82,1.4254,1.51,1.8020,1.19
1280,18.4180,0.23,5.2006,0.81,2.8163,1.49,3.1098,1.35
1536,37.4519,0.19,9.4958,0.76,5.3936,1.34,5.7089,1.27
1792,76.3035,0.15,15.9852,0.72,9.8498,1.17,8.9874,1.28
2048,459.6797,0.04,24.1758,0.71,15.3781,1.12,22.8455,0.75
