Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0001,1.28,0.0001,1.23,0.0000,1.40,0.0000,1.87
64,0.0004,1.41,0.0004,1.43,0.0004,1.34,0.0003,1.69
96,0.0015,1.22,0.0013,1.35,0.0013,1.40,0.0010,1.71
128,0.0037,1.14,0.0018,2.37,0.0016,2.68,0.0013,3.18
160,0.0040,2.05,0.0034,2.41,0.0030,2.72,0.0025,3.28
192,0.0075,1.90,0.0059,2.42,0.0052,2.73,0.0044,3.25
224,0.0128,1.75,0.0093,2.42,0.0082,2.73,0.0069,3.26
256,0.0267,1.26,0.0142,2.36,0.0129,2.60,0.0120,2.79
320,0.0452,1.45,0.0268,2.44,0.0238,2.76,0.0207,3.16
384,0.0875,1.29,0.0461,2.45,0.0409,2.77,0.0381,2.98
448,0.1303,1.38,0.0738,2.44,0.0648,2.78,0.0580,3.10
512,0.2212,1.21,0.1094,2.45,0.0974,2.76,0.0950,2.83
640,1.4520,0.36,0.2141,2.45,0.1896,2.76,0.1768,2.97
768,2.8013,0.32,0.3707,2.44,0.3276,2.77,0.3093,2.93
896,4.5129,0.32,0.6017,2.39,0.5182,2.78,0.4853,2.96
1024,6.5713,0.33,0.8827,2.43,0.7764,2.77,0.8435,2.55
1280,14.0160,0.30,1.7948,2.34,1.5727,2.67,1.4567,2.88
1536,26.0085,0.28,3.7224,1.95,3.4752,2.09,2.6590,2.73
1792,43.9058,0.26,7.0884,1.62,6.7049,1.72,4.2875,2.68
2048,129.2737,0.13,11.0139,1.56,10.5473,1.63,12.4624,1.38
