Dim,TimeNothing,GFLOPSNothin,TimeTranspose,GFLOPSTranspose,TimeUnrollTranspose,GFLOPSTransposeUnroll,TimeBlocking,GFLOPSEBlocking
32,0.0000,3.48,0.0000,4.66,0.0000,1.87,0.0000,2.52
64,0.0001,4.26,0.0001,6.02,0.0003,2.04,0.0002,2.75
96,0.0005,3.86,0.0003,5.73,0.0009,2.05,0.0006,2.78
128,0.0010,4.28,0.0007,5.76,0.0020,2.08,0.0016,2.69
160,0.0015,5.29,0.0012,7.10,0.0031,2.68,0.0023,3.58
192,0.0028,5.10,0.0022,6.40,0.0052,2.72,0.0039,3.61
224,0.0046,4.88,0.0036,6.27,0.0083,2.72,0.0062,3.63
256,0.0071,4.73,0.0058,5.79,0.0126,2.66,0.0102,3.31
320,0.0139,4.73,0.0106,6.17,0.0239,2.75,0.0188,3.49
384,0.0238,4.76,0.0184,6.15,0.0411,2.76,0.0344,3.30
448,0.0377,4.78,0.0292,6.16,0.0650,2.77,0.0527,3.41
512,0.0562,4.77,0.0449,5.98,0.0985,2.73,0.1287,2.09
640,0.1114,4.71,0.0844,6.21,0.1900,2.76,0.1593,3.29
768,0.1916,4.73,0.1474,6.15,0.3324,2.73,0.2767,3.27
896,0.3035,4.74,0.2340,6.15,0.5279,2.73,0.4392,3.28
1024,0.4527,4.74,0.3617,5.94,0.7891,2.72,1.0414,2.06
1280,0.9862,4.25,0.8316,5.04,1.5749,2.66,1.3075,3.21
1536,2.5616,2.83,2.4953,2.90,3.1504,2.30,3.6139,2.01
1792,5.8775,1.96,5.6163,2.05,6.4359,1.79,3.8220,3.01
2048,9.5071,1.81,9.1333,1.88,9.5440,1.80,11.8039,1.46
